SMILES,docking_score_kcal_mol,selectivity_note
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cc(-n2ccnc2)ccn1,-7.415,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1,-7.226,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)N[C@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)n1,-7.284,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1nnc(O)nc1O)C1CN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.35,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@@H]2[C@H]1CCCN2C(=O)c1ccc(-c2nn[nH]n2)[nH]1)c1ncccc1O,-7.626,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2CN(c3ncccc3-c3nn[nH]n3)C[C@H]21)c1ncccc1O,-7.039,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O)c1c[nH]c(-c2nn[nH]n2)c1,-7.129,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nn[nH]c1C(=O)NCC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCS1(=O)=O,-7.402,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cn[nH]c1)N1CC[C@@H]2[C@H](CCN2c2cncc(-c3nn[nH]n3)n2)C1,-7.492,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)[C@@H]1CCc2nn[nH]c2C1,-7.551,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2CCN(c3ccnc(-c4nn[nH]n4)n3)[C@H]2C1)[C@H]1CCCN1,-7.119,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCO1)c1cnnc(O)c1,-7.046,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H](O)c1cn(CC(=O)NC[C@@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)nn1,-7.076,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1cnn(C)c1N)[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.295,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.227,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1nnc(O)nc1O,-7.751,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CN(c2ccnc(-c3nn[nH]n3)n2)C[C@@H]1O)c1nc2ncccn2n1,-7.191,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1cnc2[nH]nnc2c1,-8.174,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cc(O)nc(O)n1)N1CC[C@H]2OCCN(c3cncc(-c4nn[nH]n4)n3)[C@@H]2C1,-7.172,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1NC[C@H](C(=O)NC[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)CCO2)N1,-7.007,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1nccn2ccnc12,-7.27,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccc2nn[nH]c2n1)N1CC[C@@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@H]2C1,-7.776,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O)c1ccnc2[nH]nnc12,-7.786,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1nnc(O)nc1O)N1CC[C@@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@@H]2C1,-7.198,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)NC[C@H]2CC[C@@H](NC(=O)c3c[nH]c(-c4nn[nH]n4)c3)C2)n1,-7.07,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1ccnc2[nH]nnc12,-7.438,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]21)[C@H]1CCCN1,-7.11,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccnc2[nH]nnc12)N1CC[C@H]2OCCN(c3cncc(-c4nn[nH]n4)n3)[C@@H]2C1,-8.57,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1ccnc(C(=O)N[C@@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)n1,-7.554,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]21)c1ncccc1O,-7.579,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]nc1C(=O)NC[C@H]1COCCN1c1ccnc(-c2nn[nH]n2)n1,-7.201,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nn[nH]c1C(=O)NC[C@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.279,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1nc2ncccn2n1,-7.381,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1cnc2[nH]c(O)nc2c1,-7.308,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ncccc2-c2nn[nH]n2)CCO1)c1nc2ncccn2n1,-7.153,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O)c1ccnc2[nH]nnc12,-7.657,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1nc2ncccn2n1,-7.661,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1cc(-n2ccnc2)ccn1,-7.587,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C[C@H]1O,-7.249,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)[C@H]1C,-7.278,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CC[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2C1)c1ccnc2[nH]nnc12,-8.056,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1c[nH]c(-c2nn[nH]n2)c1,-7.902,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@]1(O)CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1c[nH]c(-c2nn[nH]n2)c1,-7.566,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1ccnc2[nH]nnc12,-7.846,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1nnc(O)nc1O)N1CC[C@H]2OCCN(c3ncccc3-c3nn[nH]n3)[C@@H]2C1,-7.321,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ccc(-c3nn[nH]n3)nn2)CCO1)c1cnc2[nH]nnc2c1,-7.843,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
